nutrient,animal_proteins,vitamins_and_fiber,unsaturated_fats,starch_rich
energy intake,-0.53,0.36,-0.49,0.55
animal protein,-0.87,0.19,-0.25,0.19
vegetable protein,0,0.41,-0.32,0.8
animal fat,-0.86,0.11,-0.21,0.29
vegetable fat,-0.12,0.26,-0.9,0.15
cholesterol,-0.79,0.12,-0.32,0.23
saturated fatty acids,-0.76,0.17,-0.4,0.27
monounsaturated fatty acids,-0.34,0.23,-0.77,0.2
polyunsaturated fatty acids,-0.26,0.16,-0.64,0.2
soluble carbohydrates,-0.41,0.71,0,0.2
starch,-0.21,0.15,-0.24,0.88
alcohol,-0.12,0,-0.21,0
sodium,-0.53,0.14,-0.13,0.71
calcium,-0.78,0.33,0,0.13
potassium,-0.45,0.75,-0.28,0.29
phosphorus,-0.79,0.39,-0.2,0.33
iron,-0.48,0.54,-0.43,0.32
zinc,-0.72,0.32,-0.3,0.42
vitamin B1,-0.55,0.58,-0.25,0.41
vitamin B2,-0.76,0.5,-0.12,0
vitamin C,-0.12,0.86,0,0
vitamin B6,-0.51,0.67,-0.32,0.3
total folate,-0.39,0.75,-0.25,0.26
niacin,-0.48,0.45,-0.43,0.3
retinol,-0.43,0.12,-0.18,-0.21
beta-carotene equivalents,0,0.74,-0.23,0
lycopene,0,0.21,-0.37,0.44
vitamin D,-0.44,0.15,-0.36,0
vitamin E,-0.19,0.46,-0.82,0.18
total fiber,-0.12,0.85,-0.16,0.32
